order_item_id,order_id,product_id,product_name_x,quantity,unit_price_x,total_price,customer_id,store_id,order_date,order_time,payment_method,order_status,shipping_country,shipping_delay_days,product_name_y,category,unit_price_y,country_cust_country,city,loyalty_member,store_name,store_type,country_store_country
1,1,2,Americano,1,2.5,2.5,110,44,2021-08-10,10:59:00,Online,Completed,Colombia,0,Americano,Coffee,2.5,Colombia,City_220,True,CoffeeHouse_44,Airport,Guatemala
2,2,10,Cortado,1,2.0,2.0,160,41,2024-04-13,15:29:00,Card,Completed,Spain,0,Cortado,Coffee,2.0,Peru,City_129,True,CoffeeHouse_41,Retail,Indonesia
3,3,4,Cappuccino,1,3.25,3.25,180,8,2024-09-02,07:47:00,Mobile Wallet,Completed,France,0,Cappuccino,Coffee,3.25,Canada,City_279,False,CoffeeHouse_8,DriveThru,India
6,6,7,Cold Brew,1,3.25,3.25,32,27,2022-12-26,20:29:00,Online,Completed,Ethiopia,0,Cold Brew,Coffee,3.25,Vietnam,City_244,False,CoffeeHouse_27,Airport,Spain
7,6,1,Espresso,2,1.5,3.0,32,27,2022-12-26,20:29:00,Online,Completed,Ethiopia,0,Espresso,Coffee,1.5,Vietnam,City_244,False,CoffeeHouse_27,Airport,Spain
8,7,6,Mocha,1,4.0,4.0,55,10,2024-09-06,12:32:00,Mobile Wallet,Completed,Guatemala,0,Mocha,Coffee,4.0,Guatemala,City_105,False,CoffeeHouse_10,Airport,Indonesia
9,8,1,Espresso,1,1.5,1.5,110,36,2024-06-27,22:27:00,Cash,Completed,Guatemala,0,Espresso,Coffee,1.5,Colombia,City_220,True,CoffeeHouse_36,Kiosk,Kenya
10,9,3,Latte,1,3.5,3.5,70,45,2022-09-25,02:22:00,Card,Completed,United States,0,Latte,Coffee,3.5,Honduras,City_108,False,CoffeeHouse_45,Retail,Australia
11,9,10,Cortado,1,2.0,2.0,70,45,2022-09-25,02:22:00,Card,Completed,United States,0,Cortado,Coffee,2.0,Honduras,City_108,False,CoffeeHouse_45,Retail,Australia
12,10,6,Mocha,1,4.0,4.0,136,14,2023-02-10,11:04:00,Card,Completed,UK,0,Mocha,Coffee,4.0,Guatemala,City_157,True,CoffeeHouse_14,Retail,Costa Rica
13,11,2,Americano,1,2.5,2.5,14,10,2021-11-19,22:35:00,Card,Completed,Germany,0,Americano,Coffee,2.5,Canada,City_126,False,CoffeeHouse_10,Airport,Indonesia
14,12,5,Flat White,1,3.75,3.75,70,14,2023-11-16,20:14:00,Card,Completed,Mexico,0,Flat White,Coffee,3.75,Honduras,City_108,False,CoffeeHouse_14,Retail,Costa Rica
15,13,4,Cappuccino,1,3.25,3.25,102,39,2021-04-23,08:43:00,Card,Completed,Ethiopia,0,Cappuccino,Coffee,3.25,Costa Rica,City_79,False,CoffeeHouse_39,Retail,Peru
16,14,4,Cappuccino,1,3.25,3.25,192,28,2021-12-26,22:48:00,Cash,Completed,Colombia,0,Cappuccino,Coffee,3.25,Vietnam,City_126,True,CoffeeHouse_28,DriveThru,Germany
